Creative_Type	Director	Distributor	IMDB_Rating	IMDB_Votes	MPAA_Rating	Major_Genre	Production_Budget	Release_Date	Rotten_Tomatoes_Rating	Running_Time_min	Source	Title	US_DVD_Sales	US_Gross	Worldwide_Gross
""	""	Gramercy	6.1	1071	R	""	8000000	12-Jun-98	""	""	""	The Land Girls	""	146083	146083
""	""	Strand	6.9	207	R	Drama	300000	7-Aug-98	""	""	""	First Love, Last Rites	""	10876	10876
""	""	Lionsgate	6.8	865	""	Comedy	250000	28-Aug-98	""	""	""	I Married a Strange Person	""	203134	203134
""	""	Fine Line	""	""	""	Comedy	300000	11-Sep-98	13	""	""	Let's Talk About Sex	""	373615	373615
Contemporary Fiction	""	Trimark	3.4	165	R	Drama	1000000	9-Oct-98	62	""	Original Screenplay	Slam	""	1009819	1087521
""	""	MGM	""	""	""	""	1600000	15-Jan-99	""	""	""	Mississippi Mermaid	""	24551	2624551
""	Christopher Nolan	Zeitgeist	7.7	15133	R	""	6000	4-Apr-99	""	""	""	Following	""	44705	44705
Contemporary Fiction	""	Artisan	3.8	353	R	Comedy	1600000	9-Apr-99	""	""	Original Screenplay	Foolish	""	6026908	6026908
""	Roman Polanski	""	5.8	3275	R	""	40000000	1-Jul-86	25	""	""	Pirates	""	1641825	6341825
""	""	""	7.0	2906	""	""	6000000	31-Dec-46	86	""	""	Duel in the Sun	""	20400000	20400000
""	""	""	7.0	4035	""	""	1000000	7-Oct-63	81	""	""	Tom Jones	""	37600000	37600000
""	""	Sony Pictures	7.5	9111	""	Musical	10000000	11-Dec-68	84	""	""	Oliver!	""	37402877	37402877
""	""	Universal	8.4	82786	""	""	2000000	25-Dec-62	97	""	""	To Kill A Mockingbird	""	13129846	13129846
""	Richard Fleischer	""	""	""	""	""	25000000	23-Sep-70	""	""	""	Tora, Tora, Tora	""	29548291	29548291
""	""	""	6.8	1532	""	""	100000	1-Mar-87	87	""	""	Hollywood Shuffle	""	5228617	5228617
""	""	""	""	""	""	""	100000	17-Sep-20	""	""	""	Over the Hill to the Poorhouse	""	3000000	3000000
""	""	""	7.0	451	""	""	5200000	1-Aug-44	""	""	""	Wilson	""	2000000	2000000
""	Blake Edwards	""	6.1	858	""	""	22000000	1-Jan-70	""	""	""	Darling Lili	""	5000000	5000000
""	""	""	2.5	1677	""	""	13500000	5-Oct-56	90	""	""	The Ten Commandments	""	80000000	80000000
""	Sidney Lumet	United Artists	8.9	119101	""	Drama	340000	13-Apr-57	""	""	Original Screenplay	12 Angry Men	""	0	0
Science Fiction	Terry Gilliam	Universal	8.1	169858	R	Drama	29000000	27-Dec-95	""	""	Based on Short Film	Twelve Monkeys	""	57141459	168841459
Historical Fiction	""	Sony/Columbia	7.0	4099	PG	Drama	4000000	9-Nov-72	57	""	Based on Play	1776	""	0	0
Historical Fiction	Steven Spielberg	Universal	5.6	13364	""	Comedy	32000000	14-Dec-79	33	""	Original Screenplay	1941	""	34175000	94875000
""	""	Strand	6.3	365	Not Rated	Thriller/Suspense	1900000	29-Jun-07	""	""	Original Screenplay	Chacun sa nuit	""	18435	18435
Science Fiction	Stanley Kubrick	""	8.4	160342	""	""	10500000	2-Apr-68	96	""	Original Screenplay	2001: A Space Odyssey	""	56700000	68700000
""	Richard Fleischer	Walt Disney Pictures	""	""	""	Adventure	5000000	23-Dec-54	92	""	Based on Book/Short Story	20,000 Leagues Under the Sea	""	28200000	28200000
""	""	""	""	""	""	Adventure	200000	24-Dec-16	""	""	Based on Book/Short Story	20,000 Leagues Under the Sea	""	8000000	8000000
""	Shane Meadows	October Films	6.9	1417	R	Comedy	2000000	15-Apr-98	""	""	Original Screenplay	24 7: Twenty Four Seven	""	72544	72544
Contemporary Fiction	Michael Polish	Sony Pictures Classics	7.1	2810	R	Drama	500000	30-Jul-99	77	""	Original Screenplay	Twin Falls Idaho	""	985341	1027228
Historical Fiction	""	""	""	""	R	Action	20000000	3-Apr-08	""	""	Based on Book/Short Story	Three Kingdoms: Resurrection of the Dragon	""	0	22139590
Contemporary Fiction	Leonard Nimoy	Walt Disney Pictures	5.7	16764	""	Comedy	15000000	25-Nov-87	""	""	Remake	3 Men and a Baby	""	167780960	167780960
Contemporary Fiction	""	Walt Disney Pictures	3.2	3107	PG	Action	20000000	6-May-94	17	""	Original Screenplay	3 Ninjas Kick Back	""	11744960	11744960
""	""	Vitagraph Films	6.0	873	R	Drama	1500000	28-Sep-05	""	""	Original Screenplay	Forty Shades of Blue	""	75828	172569
""	""	Warner Bros.	7.7	4263	""	Musical	439000	9-Mar-33	95	""	Based on Book/Short Story	42nd Street	""	2300000	2300000
Contemporary Fiction	Robert Rodriguez	Miramax	6.4	34328	R	Comedy	4000000	25-Dec-95	14	""	Original Screenplay	Four Rooms	""	4301000	4301000
Contemporary Fiction	Alan Alda	Universal	7.0	1814	""	Comedy	6500000	22-May-81	71	""	Original Screenplay	The Four Seasons	""	42488161	42488161
Contemporary Fiction	Mike Newell	Gramercy	7.1	39003	R	Romantic Comedy	4500000	9-Mar-94	96	""	Original Screenplay	Four Weddings and a Funeral	""	52700832	242895809
""	""	Truly Indie	7.4	439	Not Rated	""	350000	18-Oct-06	97	""	""	51 Birch Street	""	84689	84689
